close,high,low,open,time
7496.42,7518.08,7496.42,7517.23,1527231780
7503.76,7508.68,7494.31,7496.46,1527231840
7498.59,7505.9,7498.59,7505.9,1527231900
7482.72,7498.04,7482.72,7498.04,1527231960
7406.55,7488.12,7402.84,7488.12,1527232020
7426.88,7429.66,7405.52,7406.85,1527232080
7425.66,7429.01,7423.48,7426.88,1527232140
7430.23,7432.72,7425.6,7425.95,1527232200
7407.78,7430.23,7407.31,7430.23,1527232260
7411.95,7421.78,7407.52,7409.37,1527232320
7420.58,7420.58,7410.4,7412.33,1527232380
7421.6,7426.33,7416.76,7416.76,1527232440
7421.5,7425.08,7418.53,7425.08,1527232500
7422.57,7423.16,7419.1,7420.04,1527232560
7409.64,7422.57,7409.64,7422.57,1527232620
7402.07,7410.96,7402.07,7410.96,1527232680
7401.95,7406.04,7394.23,7403.75,1527232740
7406.81,7409.25,7401.63,7403.14,1527232800
7407.7,7413.03,7406.85,7407.32,1527232860
7418.33,7421.68,7408.13,7408.54,1527232920
7416.94,7419.95,7414.89,7418.33,1527232980
7419.94,7421.74,7413.77,7416.82,1527233040
7422.7,7422.98,7418.58,7418.58,1527233100
7430.68,7435.63,7421.57,7422.92,1527233160
7425.43,7435.05,7425.26,7432.38,1527233220
7424.02,7425.89,7423.0,7425.43,1527233280
7422.39,7424.23,7422.02,7424.02,1527233340
7423.45,7424.36,7422.31,7422.39,1527233400
7423.34,7425.01,7422.45,7423.45,1527233460
7404.68,7424.11,7401.8,7424.11,1527233520
7410.8,7411.53,7402.64,7402.64,1527233580
7405.1,7411.55,7403.42,7407.66,1527233640
7411.65,7412.45,7404.17,7404.17,1527233700
7416.43,7416.54,7409.16,7410.51,1527233760
7411.86,7417.07,7411.86,7413.06,1527233820
7413.03,7413.14,7409.06,7411.87,1527233880
7410.46,7413.45,7410.45,7411.74,1527233940
7413.88,7413.94,7410.46,7411.68,1527234000
7412.62,7415.31,7411.92,7413.88,1527234060
7414.52,7415.32,7412.74,7413.42,1527234120
7426.82,7426.82,7414.4,7414.74,1527234180
7424.11,7426.82,7423.33,7426.82,1527234240
7424.21,7424.66,7422.81,7424.09,1527234300
7420.78,7424.56,7420.78,7424.21,1527234360
7408.2,7420.8,7408.2,7420.78,1527234420
7405.93,7413.7,7404.64,7413.7,1527234480
7411.95,7413.9,7405.33,7405.41,1527234540
7415.23,7415.39,7409.18,7411.94,1527234600
7425.62,7426.88,7413.04,7413.04,1527234660
7429.19,7435.15,7425.62,7425.62,1527234720
7426.48,7429.88,7425.74,7429.19,1527234780
7430.05,7430.25,7425.81,7426.55,1527234840
7436.46,7438.5,7430.05,7430.05,1527234900
7445.71,7449.17,7432.38,7432.38,1527234960
7450.29,7451.0,7444.34,7444.34,1527235020
7443.77,7450.6,7441.21,7450.51,1527235080
7433.42,7444.53,7433.42,7443.77,1527235140
7431.36,7436.79,7429.88,7436.79,1527235200
7419.89,7431.77,7419.89,7431.04,1527235260
7422.16,7425.52,7419.85,7419.99,1527235320
7398.51,7422.74,7396.26,7422.74,1527235380
7401.53,7403.59,7397.31,7398.51,1527235440
7412.28,7412.91,7401.29,7401.53,1527235500
7412.83,7412.83,7408.63,7412.28,1527235560
7415.01,7415.01,7410.56,7412.83,1527235620
7420.27,7421.46,7415.01,7415.01,1527235680
7424.34,7424.34,7419.75,7420.27,1527235740
7428.44,7429.78,7424.13,7424.35,1527235800
7434.0,7434.17,7428.44,7428.46,1527235860
7427.73,7434.78,7427.72,7434.01,1527235920
7416.94,7428.19,7416.67,7427.73,1527235980
7411.74,7418.43,7411.74,7418.43,1527236040
7413.36,7420.46,7410.93,7412.63,1527236100
7405.92,7412.98,7404.53,7412.98,1527236160
7410.04,7410.04,7404.57,7405.92,1527236220
7411.22,7411.52,7409.98,7410.04,1527236280
7411.81,7411.81,7405.59,7411.22,1527236340
7418.57,7419.09,7410.14,7410.14,1527236400
7419.6,7420.25,7416.27,7418.57,1527236460
7421.25,7422.63,7419.05,7419.6,1527236520
7422.49,7422.95,7419.81,7421.25,1527236580
7423.24,7424.05,7420.96,7422.47,1527236640
7419.79,7423.25,7418.98,7423.25,1527236700
7416.32,7420.69,7416.09,7419.79,1527236760
7414.64,7417.14,7414.28,7416.32,1527236820
7422.77,7424.0,7414.26,7414.37,1527236880
7421.38,7424.26,7421.38,7422.14,1527236940
7423.34,7423.34,7421.38,7421.38,1527237000
7424.01,7424.56,7421.99,7421.99,1527237060
7428.44,7431.5,7423.99,7424.01,1527237120
7428.06,7429.59,7426.44,7429.59,1527237180
7426.41,7428.17,7425.99,7428.06,1527237240
7429.25,7429.5,7426.41,7426.41,1527237300
7431.92,7432.01,7428.18,7428.3,1527237360
7432.02,7433.18,7430.72,7431.92,1527237420
7430.21,7432.03,7429.52,7432.02,1527237480
7435.59,7435.59,7429.04,7430.21,1527237540
7436.58,7437.95,7434.93,7435.59,1527237600
7452.77,7453.48,7436.45,7436.58,1527237660
7449.28,7455.08,7449.07,7451.28,1527237720
7447.08,7449.32,7445.56,7449.28,1527237780
7444.74,7447.53,7444.5,7447.01,1527237840
7450.28,7450.37,7444.68,7444.68,1527237900
7435.78,7451.56,7435.78,7450.28,1527237960
7438.69,7441.08,7435.76,7435.77,1527238020
7438.47,7438.71,7437.32,7438.4,1527238080
7439.51,7439.51,7438.24,7438.49,1527238140
7444.76,7444.86,7437.87,7439.51,1527238200
7446.01,7446.45,7443.45,7444.76,1527238260
7446.54,7447.19,7445.89,7446.02,1527238320
7446.61,7446.73,7444.23,7446.54,1527238380
7458.96,7459.0,7446.61,7446.61,1527238440
7454.01,7459.74,7453.28,7458.96,1527238500
7455.04,7455.46,7453.58,7454.22,1527238560
7456.89,7456.98,7455.04,7455.25,1527238620
7459.71,7459.71,7456.72,7456.94,1527238680
7459.23,7460.34,7459.22,7459.71,1527238740
7453.55,7459.91,7453.51,7459.23,1527238800
7442.25,7453.79,7441.96,7453.79,1527238860
7450.19,7451.67,7442.65,7443.08,1527238920
7450.18,7452.41,7448.96,7449.7,1527238980
7449.93,7450.98,7446.99,7450.18,1527239040
7451.55,7453.51,7449.93,7449.93,1527239100
7453.26,7453.52,7451.16,7451.55,1527239160
7456.18,7456.22,7453.13,7453.26,1527239220
7451.1,7456.79,7451.1,7456.18,1527239280
7448.4,7452.93,7447.38,7452.93,1527239340
7443.0,7448.87,7442.55,7448.4,1527239400
7444.57,7444.83,7441.22,7441.22,1527239460
7443.1,7444.63,7442.42,7444.57,1527239520
7440.11,7443.42,7440.11,7443.1,1527239580
7426.59,7440.26,7426.55,7440.26,1527239640
7431.2,7435.5,7426.59,7426.59,1527239700
7427.29,7431.2,7426.96,7431.2,1527239760
7432.63,7432.63,7427.23,7428.39,1527239820
7437.08,7437.35,7432.63,7432.63,1527239880
7440.83,7442.24,7435.74,7437.08,1527239940
7435.16,7440.83,7434.83,7440.83,1527240000
7436.15,7437.0,7435.07,7435.16,1527240060
7436.98,7438.18,7435.15,7436.02,1527240120
7436.59,7437.95,7435.4,7435.4,1527240180
7442.95,7442.95,7436.49,7436.81,1527240240
7451.93,7453.13,7442.95,7442.95,1527240300
7451.05,7453.95,7451.05,7452.18,1527240360
7459.02,7459.02,7451.05,7451.05,1527240420
7449.22,7459.05,7448.73,7459.0,1527240480
7447.05,7449.35,7445.83,7449.35,1527240540
7446.23,7447.34,7445.06,7447.05,1527240600
7450.58,7451.42,7447.33,7447.33,1527240660
7447.96,7451.35,7447.45,7450.87,1527240720
7449.0,7449.0,7446.63,7448.17,1527240780
7443.8,7449.03,7443.8,7449.03,1527240840
7444.84,7444.85,7443.36,7444.01,1527240900
7451.65,7452.47,7444.09,7444.84,1527240960
7451.36,7451.59,7450.5,7450.73,1527241020
7452.31,7452.37,7449.67,7451.36,1527241080
7453.83,7453.83,7449.95,7452.31,1527241140
7457.17,7457.75,7452.83,7454.09,1527241200
7459.81,7459.84,7456.83,7457.11,1527241260
7459.28,7459.85,7458.24,7459.81,1527241320
7456.67,7459.57,7456.09,7459.25,1527241380
7457.65,7458.44,7456.81,7458.39,1527241440
7452.06,7457.65,7452.04,7457.65,1527241500
7453.84,7453.84,7452.06,7452.06,1527241560
7450.67,7453.84,7450.33,7453.84,1527241620
7447.12,7450.67,7445.5,7450.67,1527241680
7442.94,7447.12,7441.53,7447.12,1527241740
7441.13,7442.57,7437.24,7442.57,1527241800
7442.32,7442.34,7438.57,7440.84,1527241860
7441.4,7442.85,7438.99,7442.32,1527241920
7433.87,7441.81,7433.85,7441.4,1527241980
7439.71,7439.71,7432.97,7433.88,1527242040
7439.0,7442.44,7439.0,7439.71,1527242100
7417.57,7437.77,7406.85,7437.59,1527242160
7411.93,7422.29,7410.94,7417.57,1527242220
7407.73,7413.1,7406.27,7411.93,1527242280
7417.26,7417.37,7406.6,7406.6,1527242340
7425.26,7425.33,7417.12,7417.26,1527242400
7435.34,7436.33,7424.66,7425.26,1527242460
7437.64,7438.53,7433.45,7435.59,1527242520
7440.11,7441.83,7437.32,7437.32,1527242580
7440.49,7440.6,7439.21,7440.11,1527242640
7438.68,7442.3,7437.7,7440.49,1527242700
7437.38,7439.87,7437.38,7438.68,1527242760
7431.9,7437.52,7431.9,7437.38,1527242820
7430.92,7433.57,7430.26,7431.69,1527242880
7431.47,7431.87,7430.49,7430.53,1527242940
7431.62,7431.77,7430.97,7431.52,1527243000
7434.83,7436.98,7430.04,7431.62,1527243060
7435.13,7435.16,7434.15,7434.83,1527243120
7449.99,7452.9,7435.64,7435.64,1527243180
7451.12,7452.61,7449.7,7449.99,1527243240
7447.93,7451.12,7447.93,7451.12,1527243300
7449.43,7449.43,7439.75,7447.93,1527243360
7449.89,7451.46,7443.03,7449.43,1527243420
7453.84,7453.9,7449.49,7449.89,1527243480
7463.66,7474.83,7453.84,7453.84,1527243540
7459.58,7463.97,7459.58,7463.67,1527243600
7446.63,7459.73,7444.6,7459.73,1527243660
7433.29,7449.53,7430.83,7446.67,1527243720
7440.27,7440.7,7429.5,7433.29,1527243780
7432.13,7443.34,7432.11,7442.38,1527243840
7428.78,7433.7,7428.76,7432.08,1527243900
7431.02,7431.02,7428.32,7428.78,1527243960
7433.45,7434.08,7429.46,7431.02,1527244020
7437.77,7437.77,7430.96,7432.96,1527244080
7446.18,7447.35,7437.77,7437.77,1527244140
7441.01,7446.18,7435.8,7446.18,1527244200
7436.32,7441.04,7434.64,7440.96,1527244260
7434.99,7436.41,7434.77,7436.32,1527244320
7435.53,7435.53,7432.83,7435.44,1527244380
7436.27,7436.32,7434.85,7435.53,1527244440
7440.71,7440.71,7436.04,7436.28,1527244500
7440.68,7441.23,7439.21,7440.71,1527244560
7435.74,7441.81,7435.68,7440.65,1527244620
7422.62,7436.98,7422.61,7435.74,1527244680
7416.14,7422.53,7411.79,7422.53,1527244740
7417.15,7418.24,7414.8,7414.8,1527244800
7420.06,7420.09,7415.16,7417.15,1527244860
7427.28,7427.28,7418.77,7418.77,1527244920
7425.7,7428.58,7425.52,7427.39,1527244980
7430.82,7430.89,7419.94,7427.05,1527245040
7435.85,7435.88,7428.91,7430.83,1527245100
7438.65,7438.74,7435.15,7435.85,1527245160
7441.28,7441.28,7437.84,7438.57,1527245220
7440.86,7441.95,7439.09,7441.28,1527245280
7440.52,7441.41,7440.39,7440.94,1527245340
7433.71,7440.97,7433.53,7440.97,1527245400
7434.63,7434.82,7433.29,7433.71,1527245460
7433.81,7434.75,7433.31,7434.45,1527245520
7434.01,7435.34,7433.81,7433.81,1527245580
7435.26,7435.91,7433.34,7434.01,1527245640
7432.19,7437.23,7432.19,7436.49,1527245700
7431.5,7432.83,7430.79,7432.4,1527245760
7425.12,7431.5,7424.98,7431.5,1527245820
7368.64,7423.96,7367.89,7423.93,1527245880
7378.08,7380.73,7349.15,7369.25,1527245940
7348.96,7380.3,7347.96,7378.76,1527246000
7354.84,7356.4,7348.03,7348.03,1527246060
7366.41,7366.72,7353.97,7354.84,1527246120
7376.09,7377.33,7366.37,7366.41,1527246180
7376.04,7380.07,7373.15,7376.09,1527246240
7371.56,7375.52,7371.07,7375.07,1527246300
7370.17,7372.85,7369.33,7371.56,1527246360
7366.03,7370.5,7365.12,7369.56,1527246420
7367.67,7367.67,7363.86,7365.67,1527246480
7379.33,7379.43,7367.48,7367.67,1527246540
7387.5,7388.6,7378.85,7379.33,1527246600
7393.8,7394.08,7385.79,7387.5,1527246660
7393.72,7394.45,7392.23,7393.8,1527246720
7391.12,7393.72,7390.78,7393.72,1527246780
7385.45,7393.66,7383.84,7391.12,1527246840
7388.27,7388.31,7382.23,7385.45,1527246900
7393.69,7394.4,7387.43,7387.43,1527246960
7384.04,7393.73,7382.5,7392.77,1527247020
7383.78,7384.84,7383.11,7383.34,1527247080
7387.46,7389.9,7382.29,7383.76,1527247140
7382.38,7387.99,7381.28,7387.46,1527247200
7378.96,7382.88,7378.24,7382.88,1527247260
7389.47,7389.64,7376.31,7378.69,1527247320
7389.06,7389.47,7387.43,7389.47,1527247380
7391.18,7391.8,7387.85,7388.88,1527247440
7406.61,7406.61,7391.17,7391.17,1527247500
7422.2,7445.56,7407.35,7407.35,1527247560
7433.14,7434.05,7421.28,7421.28,1527247620
7447.0,7449.59,7433.14,7433.14,1527247680
7456.0,7457.32,7446.7,7447.0,1527247740
7458.38,7459.09,7453.95,7456.19,1527247800
7487.04,7487.93,7458.2,7458.2,1527247860
7483.11,7491.49,7477.5,7487.44,1527247920
7476.39,7484.04,7476.39,7482.84,1527247980
7468.34,7476.53,7468.34,7476.53,1527248040
7461.84,7468.19,7460.94,7468.19,1527248100
7463.31,7463.76,7459.1,7461.84,1527248160
7477.68,7478.26,7469.66,7470.31,1527248220
7481.05,7481.4,7477.68,7477.68,1527248280
7479.18,7481.79,7477.47,7481.05,1527248340
7474.63,7479.4,7473.5,7479.19,1527248400
7473.83,7474.63,7471.09,7474.63,1527248460
7473.91,7474.23,7471.91,7474.02,1527248520
7470.7,7473.94,7470.5,7472.95,1527248580
7460.81,7470.18,7460.32,7470.18,1527248640
7463.44,7463.48,7460.01,7460.21,1527248700
7461.71,7462.41,7459.86,7461.55,1527248760
7463.08,7463.65,7460.75,7460.75,1527248820
7470.82,7470.82,7461.41,7461.81,1527248880
7479.2,7479.28,7470.63,7470.95,1527248940
7479.14,7479.28,7476.67,7479.2,1527249000
7476.55,7479.35,7476.52,7477.3,1527249060
7472.18,7477.16,7472.0,7476.35,1527249120
7472.46,7473.09,7470.4,7472.29,1527249180
7476.31,7478.04,7471.97,7472.46,1527249240
7470.82,7475.71,7470.82,7475.64,1527249300
7471.61,7471.87,7469.46,7470.71,1527249360
7474.24,7474.24,7471.61,7471.61,1527249420
7467.91,7473.87,7466.94,7473.87,1527249480
7467.56,7468.38,7466.65,7467.91,1527249540
7469.36,7469.43,7467.36,7467.68,1527249600
7470.49,7471.09,7468.33,7468.34,1527249660
7470.68,7471.64,7469.5,7470.81,1527249720
7485.52,7485.75,7469.33,7470.68,1527249780
7482.48,7487.26,7481.88,7485.18,1527249840
7514.1,7514.13,7481.72,7481.72,1527249900
7519.28,7532.7,7514.1,7514.1,1527249960
7520.64,7524.17,7517.37,7517.39,1527250020
7521.08,7522.86,7518.68,7522.74,1527250080
7519.58,7521.38,7517.6,7521.08,1527250140
7518.8,7519.14,7516.06,7518.98,1527250200
7522.2,7523.34,7516.07,7518.8,1527250260
7519.39,7522.86,7518.75,7522.2,1527250320
7519.6,7520.05,7518.33,7519.39,1527250380
7517.3,7520.38,7515.93,7519.6,1527250440
7523.56,7523.56,7516.78,7517.3,1527250500
7525.21,7525.45,7519.95,7523.56,1527250560
7527.25,7527.25,7524.07,7525.21,1527250620
7524.11,7527.58,7524.11,7527.25,1527250680
7521.41,7524.11,7521.41,7524.11,1527250740
7514.67,7514.88,7512.79,7514.71,1527250980
7512.08,7514.88,7511.12,7514.67,1527251040
7511.94,7514.51,7511.94,7512.32,1527251100
7498.35,7513.26,7498.35,7511.94,1527251160
7496.85,7501.69,7491.64,7500.39,1527251220
7501.21,7503.38,7495.48,7496.85,1527251280
7504.08,7504.66,7500.54,7500.73,1527251340
7505.96,7505.96,7504.08,7504.08,1527251400
7508.04,7509.29,7504.72,7504.72,1527251460
7507.54,7509.54,7507.34,7508.04,1527251520
7509.0,7509.08,7506.2,7508.46,1527251580
7510.32,7510.42,7506.91,7506.91,1527251640
7506.1,7510.32,7503.99,7510.12,1527251700
7507.59,7510.43,7505.59,7505.77,1527251760
7506.44,7509.72,7506.43,7507.72,1527251820
7506.68,7508.2,7505.87,7506.44,1527251880
7513.2,7513.2,7506.65,7506.68,1527251940
7516.44,7516.44,7513.09,7513.16,1527252000
7516.93,7517.18,7515.46,7516.44,1527252060
7516.92,7517.57,7514.95,7515.46,1527252120
7519.3,7520.12,7516.56,7516.92,1527252180
7518.93,7519.53,7518.03,7519.3,1527252240
7519.04,7519.21,7518.69,7518.93,1527252300
7519.17,7519.94,7518.86,7519.04,1527252360
7517.64,7520.88,7517.4,7519.34,1527252420
7517.1,7519.04,7516.64,7517.4,1527252480
7518.22,7520.49,7516.72,7517.1,1527252540
7518.2,7519.78,7518.2,7519.41,1527252600
7511.36,7518.85,7511.36,7518.39,1527252660
7501.37,7511.3,7500.96,7511.3,1527252720
7501.72,7501.72,7500.0,7501.24,1527252780
7508.25,7508.29,7499.09,7501.11,1527252840
7504.98,7509.04,7504.55,7508.86,1527252900
7507.94,7507.94,7504.53,7504.53,1527252960
7511.67,7512.44,7508.17,7508.26,1527253020
7514.67,7515.08,7509.79,7512.4,1527253080
7515.55,7516.79,7514.56,7514.67,1527253140
7509.74,7517.33,7509.74,7515.55,1527253200
7508.47,7510.32,7506.69,7509.74,1527253260
7509.54,7510.37,7508.08,7508.47,1527253320
7507.64,7509.54,7506.51,7509.54,1527253380
7508.16,7508.34,7505.81,7506.51,1527253440
7504.91,7508.97,7504.0,7508.05,1527253500
7489.19,7504.91,7489.19,7504.91,1527253560
7489.76,7495.08,7480.96,7494.92,1527253620
7496.19,7496.94,7487.78,7487.78,1527253680
7497.42,7499.84,7496.36,7496.36,1527253740
7495.79,7498.36,7493.96,7497.61,1527253800
7492.43,7495.79,7487.35,7495.79,1527253860
7495.11,7496.17,7493.02,7493.52,1527253920
7504.94,7506.97,7495.11,7495.11,1527253980
7505.19,7507.27,7504.53,7506.1,1527254040
7504.75,7505.47,7504.23,7505.19,1527254100
7505.32,7506.38,7503.68,7504.75,1527254160
7505.26,7505.26,7503.53,7504.07,1527254220
7502.65,7506.46,7502.65,7504.27,1527254280
7492.55,7502.53,7491.25,7502.53,1527254340
7491.65,7494.27,7491.65,7492.93,1527254400
7490.49,7493.24,7489.4,7491.65,1527254460
7490.38,7492.65,7490.11,7492.65,1527254520
7489.51,7492.74,7489.51,7491.37,1527254580
7485.94,7489.65,7485.2,7489.51,1527254640
7489.04,7489.04,7485.2,7485.2,1527254700
7488.65,7490.35,7487.51,7489.05,1527254760
7499.2,7499.28,7488.65,7488.65,1527254820
7499.15,7499.29,7497.19,7499.2,1527254880
7506.85,7506.85,7499.08,7499.15,1527254940
7509.06,7509.1,7506.31,7506.85,1527255000
7506.8,7509.09,7506.57,7509.06,1527255060
7498.42,7506.97,7498.42,7506.74,1527255120
7496.44,7498.86,7494.86,7498.42,1527255180
7495.01,7497.0,7495.01,7496.43,1527255240
7494.82,7497.01,7494.82,7495.6,1527255300
7490.54,7494.89,7490.3,7494.82,1527255360
7489.52,7491.86,7489.19,7491.79,1527255420
7478.88,7489.52,7478.18,7489.52,1527255480
