close,high,low,open,time
0.2037,0.2037,0.2037,0.2037,1526990700
0.2037,0.2037,0.2037,0.2037,1526990760
0.2038,0.2038,0.2038,0.2038,1526990820
0.2036,0.2036,0.2036,0.2036,1526990880
0.2037,0.2037,0.2037,0.2037,1526990940
0.2036,0.2036,0.2036,0.2036,1526991000
0.2028,0.2028,0.2028,0.2028,1526991060
0.2032,0.2032,0.2032,0.2032,1526991120
0.2033,0.2033,0.2033,0.2033,1526991180
0.2031,0.2031,0.2031,0.2031,1526991240
0.203,0.203,0.203,0.203,1526991300
0.2031,0.2031,0.2031,0.2031,1526991360
0.2032,0.2032,0.2032,0.2032,1526991420
0.205,0.205,0.1992,0.1992,1526991480
0.2051,0.2051,0.2051,0.2051,1526991540
0.205,0.205,0.205,0.205,1526991600
0.2051,0.2051,0.2051,0.2051,1526991660
0.2051,0.2051,0.2051,0.2051,1526991720
0.2051,0.2051,0.2051,0.2051,1526991780
0.2049,0.2049,0.2049,0.2049,1526991840
0.2051,0.2051,0.2051,0.2051,1526991900
0.2049,0.2049,0.2049,0.2049,1526991960
0.2047,0.2047,0.2047,0.2047,1526992020
0.2048,0.2048,0.2048,0.2048,1526992080
0.2049,0.2049,0.2049,0.2049,1526992140
0.2048,0.2048,0.2048,0.2048,1526992200
0.2049,0.2049,0.2049,0.2049,1526992260
0.2048,0.2048,0.2048,0.2048,1526992320
0.2045,0.2045,0.2045,0.2045,1526992380
0.2045,0.2045,0.2045,0.2045,1526992440
0.2045,0.2045,0.2045,0.2045,1526992500
0.2045,0.2045,0.2045,0.2045,1526992560
0.1987,0.1987,0.1979,0.1979,1526992620
0.1989,0.1989,0.1989,0.1989,1526992680
0.1989,0.1989,0.1989,0.1989,1526992740
0.1989,0.1989,0.1989,0.1989,1526992800
0.1989,0.1989,0.1989,0.1989,1526992860
0.1989,0.1989,0.1989,0.1989,1526992920
0.1988,0.1988,0.1988,0.1988,1526992980
0.1986,0.1986,0.1986,0.1986,1526993040
0.1985,0.1985,0.1985,0.1985,1526993100
0.1984,0.1984,0.1984,0.1984,1526993160
0.2024,0.2024,0.1975,0.1975,1526993220
0.2026,0.2026,0.2026,0.2026,1526993280
0.2024,0.2024,0.2024,0.2024,1526993340
0.2025,0.2025,0.2025,0.2025,1526993400
0.2025,0.2025,0.2025,0.2025,1526993460
0.2028,0.2028,0.2028,0.2028,1526993520
0.2028,0.2028,0.2028,0.2028,1526993580
0.202,0.202,0.1963,0.1963,1526993640
0.2021,0.2021,0.2021,0.2021,1526993700
0.202,0.202,0.202,0.202,1526993760
0.2021,0.2021,0.2021,0.2021,1526993820
0.2021,0.2021,0.2021,0.2021,1526993880
0.2022,0.2022,0.2022,0.2022,1526993940
0.2024,0.2024,0.2024,0.2024,1526994000
0.1804,0.1845,0.1804,0.1845,1526994060
0.1885,0.1885,0.1803,0.1803,1526994120
0.1887,0.1887,0.1887,0.1887,1526994180
0.1887,0.1887,0.1887,0.1887,1526994240
0.1888,0.1888,0.1888,0.1888,1526994300
0.1887,0.1887,0.1887,0.1887,1526994360
0.1887,0.1887,0.1887,0.1887,1526994420
0.1886,0.1886,0.1886,0.1886,1526994480
0.1886,0.1886,0.1886,0.1886,1526994540
0.1886,0.1886,0.1886,0.1886,1526994600
0.1903,0.1903,0.1878,0.1886,1526994660
0.1904,0.1904,0.1904,0.1904,1526994720
0.1904,0.1904,0.1904,0.1904,1526994780
0.1905,0.1905,0.1905,0.1905,1526994840
0.1906,0.1906,0.1906,0.1906,1526994900
0.1907,0.1907,0.1907,0.1907,1526994960
0.1899,0.1907,0.1899,0.1907,1526995020
0.1898,0.1898,0.1898,0.1898,1526995080
0.1898,0.1898,0.1898,0.1898,1526995140
0.1898,0.1898,0.1898,0.1898,1526995200
0.1898,0.1898,0.1898,0.1898,1526995200
0.1899,0.1899,0.1899,0.1899,1526995260
0.1899,0.1899,0.1899,0.1899,1526995320
0.1899,0.1899,0.1899,0.1899,1526995380
0.1897,0.1897,0.1897,0.1897,1526995440
0.1897,0.1897,0.1897,0.1897,1526995500
0.1898,0.1898,0.1898,0.1898,1526995560
0.1931,0.1931,0.1923,0.1923,1526995620
0.1931,0.1931,0.1931,0.1931,1526995680
0.193,0.193,0.193,0.193,1526995740
0.193,0.193,0.193,0.193,1526995800
0.1931,0.1931,0.1931,0.1931,1526995860
0.1932,0.1932,0.1932,0.1932,1526995920
0.1916,0.1932,0.1908,0.1932,1526995980
0.1917,0.1917,0.1917,0.1917,1526996040
0.1917,0.1917,0.1917,0.1917,1526996100
0.1917,0.1917,0.1917,0.1917,1526996160
0.1917,0.1917,0.1917,0.1917,1526996220
0.1916,0.1916,0.1916,0.1916,1526996280
0.1917,0.1917,0.1917,0.1917,1526996340
0.1917,0.1917,0.1917,0.1917,1526996400
0.1917,0.1917,0.1917,0.1917,1526996460
0.1917,0.1917,0.1884,0.1884,1526996520
0.1918,0.1918,0.1918,0.1918,1526996580
0.1918,0.1918,0.1918,0.1918,1526996640
0.1918,0.1918,0.1918,0.1918,1526996700
0.1921,0.1921,0.1921,0.1921,1526996760
0.1938,0.1938,0.1938,0.1938,1526996820
0.1938,0.1938,0.1938,0.1938,1526996880
0.1937,0.1937,0.1937,0.1937,1526996940
0.1937,0.1937,0.1937,0.1937,1526997000
0.1937,0.1937,0.1937,0.1937,1526997060
0.1937,0.1937,0.1937,0.1937,1526997120
0.1938,0.1938,0.1938,0.1938,1526997180
0.1937,0.1937,0.1937,0.1937,1526997240
0.1936,0.1936,0.1936,0.1936,1526997300
0.1936,0.1936,0.1936,0.1936,1526997360
0.1935,0.1935,0.1935,0.1935,1526997420
0.1935,0.1935,0.1935,0.1935,1526997480
0.1935,0.1935,0.1935,0.1935,1526997540
0.1935,0.1935,0.1935,0.1935,1526997600
0.1935,0.1935,0.1935,0.1935,1526997660
0.1935,0.1935,0.1935,0.1935,1526997720
0.1934,0.1934,0.1934,0.1934,1526997780
0.1931,0.1931,0.1931,0.1931,1526997840
0.1931,0.1931,0.1931,0.1931,1526997900
0.1931,0.1931,0.1931,0.1931,1526997960
0.1931,0.1931,0.1931,0.1931,1526998020
0.1932,0.1932,0.1932,0.1932,1526998080
0.1933,0.1933,0.1933,0.1933,1526998140
0.1934,0.1934,0.1934,0.1934,1526998200
0.1935,0.1935,0.1935,0.1935,1526998260
