close,high,low,open,time
0.1196,0.1196,0.1194,0.1196,1527244980
0.1196,0.1198,0.1196,0.1198,1527245040
0.1196,0.1199,0.1196,0.1196,1527245100
0.1198,0.1199,0.1196,0.1199,1527245160
0.1197,0.1199,0.1197,0.1199,1527245220
0.1197,0.1199,0.1196,0.1197,1527245280
0.1198,0.1198,0.1197,0.1197,1527245340
0.1196,0.12,0.1196,0.1197,1527245400
0.1198,0.12,0.1196,0.1196,1527245460
0.1198,0.1199,0.1198,0.1198,1527245520
0.1198,0.1198,0.1198,0.1198,1527245580
0.1196,0.1199,0.1196,0.1199,1527245640
0.1196,0.1198,0.1196,0.1196,1527245700
0.1197,0.1197,0.1194,0.1196,1527245760
0.1196,0.1197,0.1196,0.1196,1527245820
0.1186,0.1187,0.1185,0.1187,1527245880
0.1184,0.1189,0.1184,0.1187,1527245940
0.118,0.1183,0.1179,0.1183,1527246000
0.118,0.118,0.118,0.118,1527246060
0.1188,0.1188,0.1185,0.1185,1527246120
0.119,0.119,0.1188,0.119,1527246180
0.1188,0.119,0.1188,0.1189,1527246240
0.1185,0.1187,0.1185,0.1187,1527246300
0.1182,0.1185,0.1182,0.1185,1527246360
0.1183,0.1183,0.1183,0.1183,1527246420
0.1183,0.1183,0.1183,0.1183,1527246480
0.1183,0.1184,0.1183,0.1183,1527246540
0.1183,0.1185,0.1183,0.1185,1527246600
0.1187,0.1187,0.1186,0.1187,1527246660
0.1187,0.1187,0.1185,0.1187,1527246720
0.1188,0.1189,0.1188,0.1188,1527246780
0.1189,0.1191,0.1188,0.1188,1527246840
0.119,0.119,0.119,0.119,1527246900
0.1191,0.1192,0.119,0.119,1527246960
0.1185,0.1188,0.1184,0.1188,1527247020
0.1188,0.1188,0.1186,0.1186,1527247080
0.1187,0.1189,0.1186,0.1189,1527247140
0.1188,0.1189,0.1186,0.1186,1527247200
0.1186,0.1187,0.1186,0.1187,1527247260
0.1188,0.1188,0.1187,0.1187,1527247320
0.1188,0.1188,0.1188,0.1188,1527247380
0.1189,0.1189,0.1189,0.1189,1527247440
0.1192,0.1192,0.1192,0.1192,1527247500
0.1199,0.1199,0.1194,0.1196,1527247560
0.12,0.1201,0.1197,0.1199,1527247620
0.1203,0.1203,0.1202,0.1203,1527247680
0.1206,0.1206,0.1203,0.1205,1527247740
0.1207,0.1209,0.1206,0.1208,1527247800
0.1213,0.1214,0.1211,0.1211,1527247860
0.1212,0.1215,0.1212,0.1214,1527247920
0.1211,0.1214,0.121,0.1214,1527247980
0.121,0.121,0.1209,0.121,1527248040
0.1209,0.1209,0.1208,0.1209,1527248100
0.1209,0.1209,0.1209,0.1209,1527248160
0.1214,0.1214,0.1211,0.1211,1527248220
0.1214,0.1215,0.1213,0.1215,1527248280
0.1214,0.1215,0.1213,0.1214,1527248340
0.1212,0.1213,0.1212,0.1213,1527248400
0.1212,0.1212,0.1212,0.1212,1527248460
0.1214,0.1215,0.1212,0.1212,1527248520
0.1214,0.1214,0.1212,0.1213,1527248580
0.1213,0.1213,0.1211,0.1212,1527248640
0.1211,0.1214,0.1211,0.1214,1527248700
0.1212,0.1212,0.1206,0.1211,1527248760
0.1211,0.1212,0.1211,0.1212,1527248820
0.1212,0.1213,0.1211,0.1213,1527248880
0.1213,0.1215,0.1213,0.1213,1527248940
0.1215,0.1215,0.1213,0.1213,1527249000
0.1214,0.1215,0.1213,0.1213,1527249060
0.1213,0.1214,0.1213,0.1213,1527249120
0.1214,0.1215,0.1214,0.1214,1527249180
0.1214,0.1215,0.1214,0.1215,1527249240
0.1212,0.1214,0.1212,0.1213,1527249300
0.1213,0.1213,0.1212,0.1213,1527249360
0.1211,0.1212,0.1211,0.1212,1527249420
0.121,0.1211,0.1209,0.121,1527249480
0.121,0.121,0.121,0.121,1527249540
0.1211,0.1211,0.121,0.1211,1527249600
0.1212,0.1212,0.1212,0.1212,1527249660
0.1212,0.1212,0.1212,0.1212,1527249720
0.1211,0.1212,0.1211,0.1212,1527249780
0.1214,0.1214,0.1213,0.1213,1527249780
0.1214,0.1215,0.1213,0.1214,1527249840
0.1223,0.1223,0.122,0.122,1527249900
0.1223,0.1223,0.1222,0.1223,1527249960
0.1224,0.1225,0.1224,0.1224,1527250020
0.1226,0.1227,0.1224,0.1224,1527250080
0.1225,0.1226,0.1225,0.1226,1527250140
0.1226,0.1226,0.1224,0.1226,1527250200
0.1226,0.1227,0.1226,0.1226,1527250260
0.1227,0.1227,0.1226,0.1226,1527250320
0.1228,0.1229,0.1226,0.1226,1527250380
0.1226,0.1228,0.1226,0.1228,1527250440
0.1229,0.1229,0.1227,0.1227,1527250500
0.1231,0.1233,0.123,0.1231,1527250560
0.1231,0.1233,0.1231,0.1231,1527250620
0.1231,0.1231,0.1231,0.1231,1527250680
0.1232,0.1232,0.1231,0.1231,1527250740
0.1232,0.1232,0.1232,0.1232,1527250740
0.1237,0.1237,0.1232,0.1232,1527250800
0.1232,0.1232,0.1231,0.1231,1527250920
0.1232,0.1232,0.1232,0.1232,1527250980
0.123,0.1232,0.1229,0.1232,1527251040
0.1232,0.1232,0.123,0.1232,1527251100
0.123,0.123,0.1229,0.123,1527251160
0.1233,0.1233,0.1229,0.1229,1527251220
0.1231,0.1232,0.1231,0.1232,1527251280
0.123,0.1231,0.1229,0.1231,1527251340
0.1232,0.1232,0.123,0.123,1527251400
0.1231,0.1232,0.1231,0.1232,1527251460
0.1231,0.1232,0.123,0.123,1527251520
0.1233,0.1234,0.1231,0.1231,1527251580
0.1233,0.1233,0.1232,0.1233,1527251640
0.1231,0.1233,0.1231,0.1233,1527251700
0.1231,0.1234,0.1231,0.1232,1527251760
0.1232,0.1232,0.1231,0.1231,1527251820
0.123,0.1232,0.123,0.1232,1527251880
0.1232,0.1233,0.1231,0.1231,1527251940
0.1234,0.1234,0.1233,0.1233,1527252000
0.1234,0.1234,0.1233,0.1234,1527252060
0.1234,0.1234,0.1232,0.1234,1527252120
0.1235,0.1235,0.1233,0.1234,1527252180
0.1235,0.1235,0.1233,0.1235,1527252240
0.1233,0.1235,0.1233,0.1235,1527252300
0.1234,0.1234,0.1233,0.1233,1527252360
0.1234,0.1234,0.1234,0.1234,1527252420
0.1234,0.1234,0.1232,0.1234,1527252480
0.1232,0.1234,0.1232,0.1234,1527252540
0.1232,0.1233,0.1231,0.1232,1527252600
0.1231,0.1231,0.123,0.1231,1527252660
0.1229,0.123,0.1229,0.1229,1527252720
0.123,0.123,0.1228,0.123,1527252780
0.123,0.1231,0.123,0.1231,1527252840
0.1229,0.1229,0.1229,0.1229,1527252900
0.1228,0.123,0.1228,0.123,1527252960
0.123,0.1231,0.1229,0.123,1527253020
0.1232,0.1232,0.1229,0.1229,1527253080
0.123,0.1231,0.1228,0.123,1527253140
0.1229,0.1229,0.1228,0.1228,1527253200
0.1231,0.1231,0.1228,0.1231,1527253260
0.1235,0.1235,0.1234,0.1235,1527253320
0.1234,0.1234,0.1233,0.1234,1527253380
0.1235,0.1236,0.1234,0.1234,1527253440
0.1235,0.1235,0.1234,0.1235,1527253500
0.1232,0.1232,0.123,0.123,1527253560
0.1228,0.1231,0.1228,0.1231,1527253620
0.1229,0.1232,0.1229,0.1232,1527253680
0.1231,0.1231,0.1229,0.1229,1527253740
0.1226,0.1227,0.1226,0.1227,1527253800
0.1229,0.123,0.1226,0.123,1527253860
0.1227,0.1229,0.1226,0.1229,1527253920
0.1231,0.1231,0.1229,0.1229,1527253980
0.1231,0.1232,0.1229,0.1232,1527254040
0.1231,0.1232,0.123,0.1231,1527254100
0.1229,0.1229,0.1229,0.1229,1527254160
0.1229,0.1229,0.1229,0.1229,1527254220
0.1229,0.123,0.1228,0.1228,1527254280
0.1227,0.1228,0.1227,0.1228,1527254340
0.1228,0.1228,0.1227,0.1227,1527254400
0.1227,0.1227,0.1227,0.1227,1527254460
0.1227,0.1228,0.1227,0.1227,1527254520
0.1228,0.1228,0.1227,0.1228,1527254580
0.1228,0.1228,0.1227,0.1227,1527254640
0.1228,0.1229,0.1228,0.1228,1527254700
0.1228,0.1229,0.1228,0.1229,1527254760
0.1229,0.123,0.1229,0.123,1527254820
0.1225,0.123,0.1225,0.123,1527254880
0.123,0.123,0.1227,0.1227,1527254940
0.1229,0.123,0.1228,0.1228,1527255000
0.123,0.123,0.1229,0.1229,1527255060
0.1229,0.1229,0.1228,0.1228,1527255120
0.1228,0.1228,0.1228,0.1228,1527255180
0.1228,0.1228,0.1228,0.1228,1527255240
0.1229,0.1229,0.1228,0.1228,1527255300
0.123,0.123,0.1228,0.1228,1527255360
0.1229,0.1229,0.1228,0.1228,1527255420
0.1222,0.1226,0.1222,0.1226,1527255480
0.1218,0.1222,0.1218,0.122,1527255540
0.1222,0.1223,0.1221,0.1222,1527255600
0.1222,0.1222,0.1221,0.1222,1527255660
0.1221,0.1221,0.122,0.1221,1527255720
0.1219,0.1224,0.1219,0.1222,1527255780
0.1221,0.1221,0.1219,0.1219,1527255840
0.1221,0.1221,0.1221,0.1221,1527255900
0.1221,0.1223,0.1221,0.1222,1527255960
0.1222,0.1222,0.122,0.122,1527256020
0.1221,0.1222,0.1221,0.1222,1527256080
0.1222,0.1222,0.1221,0.1221,1527256140
0.1222,0.1222,0.122,0.1222,1527256200
0.1221,0.1223,0.1221,0.1223,1527256260
0.1222,0.1222,0.1221,0.1221,1527256320
0.1223,0.1223,0.1223,0.1223,1527256380
0.1221,0.1221,0.1221,0.1221,1527256440
0.1218,0.1221,0.1215,0.122,1527256500
0.1217,0.1218,0.1214,0.1217,1527256560
0.1218,0.1218,0.1215,0.1218,1527256620
0.1219,0.1219,0.1219,0.1219,1527256680
0.1219,0.1219,0.1218,0.1218,1527256740
0.1218,0.1218,0.1215,0.1217,1527256800
0.1218,0.1218,0.1218,0.1218,1527256860
0.1219,0.1219,0.1218,0.1218,1527256920
0.122,0.122,0.122,0.122,1527256980
0.122,0.122,0.122,0.122,1527257040
0.122,0.122,0.122,0.122,1527257100
0.122,0.122,0.1219,0.122,1527257160
0.122,0.122,0.122,0.122,1527257220
0.1219,0.122,0.1216,0.122,1527257280
0.1218,0.1219,0.1216,0.1219,1527257340
0.1218,0.1218,0.1217,0.1218,1527257400
0.1218,0.1218,0.1218,0.1218,1527257460
0.1217,0.1217,0.1217,0.1217,1527257520
0.1218,0.1218,0.1218,0.1218,1527257580
0.1218,0.1218,0.1218,0.1218,1527257640
0.1218,0.1218,0.1217,0.1218,1527257700
0.1222,0.1222,0.1221,0.1221,1527257760
0.122,0.122,0.122,0.122,1527257820
0.1221,0.1221,0.1219,0.1221,1527257880
0.1221,0.1221,0.1219,0.1221,1527257940
0.1222,0.1222,0.1222,0.1222,1527258000
0.122,0.1222,0.122,0.1222,1527258060
0.1218,0.122,0.1218,0.122,1527258120
0.1217,0.1219,0.1217,0.1217,1527258180
0.1218,0.1218,0.1218,0.1218,1527258240
0.1218,0.1219,0.1218,0.1218,1527258300
0.1217,0.122,0.1217,0.122,1527258360
0.1218,0.1218,0.1218,0.1218,1527258420
0.1217,0.1219,0.1217,0.1217,1527258480
0.1219,0.1219,0.1217,0.1217,1527258540
0.1219,0.122,0.1217,0.122,1527258600
0.122,0.122,0.1218,0.122,1527258660
0.1217,0.1218,0.1217,0.1218,1527258720
0.1218,0.1218,0.1218,0.1218,1527258780
0.1218,0.1218,0.1218,0.1218,1527258840
0.1219,0.1219,0.1219,0.1219,1527258900
0.1218,0.1219,0.1218,0.1218,1527258960
0.1219,0.1219,0.1219,0.1219,1527259020
0.1218,0.1219,0.1218,0.1219,1527259080
0.1218,0.1218,0.1218,0.1218,1527259140
0.1216,0.1216,0.1216,0.1216,1527259200
0.1216,0.1216,0.1216,0.1216,1527259260
0.1214,0.1216,0.1214,0.1216,1527259320
0.1214,0.1214,0.1213,0.1214,1527259380
0.1216,0.1216,0.1215,0.1215,1527259440
0.1215,0.1216,0.1214,0.1216,1527259500
0.1215,0.1215,0.1215,0.1215,1527259560
0.1215,0.1215,0.1215,0.1215,1527259620
0.1215,0.1215,0.1215,0.1215,1527259680
0.1214,0.1215,0.1214,0.1215,1527259740
0.1214,0.1214,0.1214,0.1214,1527259800
0.1212,0.1213,0.1212,0.1213,1527259860
0.1213,0.1213,0.1212,0.1212,1527259920
0.1213,0.1213,0.1212,0.1213,1527259980
0.1213,0.1213,0.1213,0.1213,1527260040
0.1213,0.1214,0.1213,0.1213,1527260100
0.1213,0.1214,0.1213,0.1213,1527260160
0.1212,0.1213,0.1212,0.1213,1527260220
0.1212,0.1212,0.1211,0.1211,1527260280
0.121,0.121,0.1208,0.1209,1527260340
0.121,0.121,0.1207,0.1207,1527260400
0.1209,0.1209,0.1209,0.1209,1527260460
0.121,0.1212,0.121,0.1212,1527260520
0.121,0.121,0.121,0.121,1527260580
0.1205,0.1205,0.1205,0.1205,1527260640
0.1205,0.1208,0.1201,0.1208,1527260700
0.1209,0.1209,0.1202,0.1208,1527260760
0.1206,0.1209,0.1205,0.1205,1527260820
0.1204,0.1206,0.1201,0.1205,1527260880
0.1205,0.1205,0.1205,0.1205,1527260940
0.1201,0.1202,0.1201,0.1201,1527261000
0.1202,0.1206,0.1202,0.1206,1527261060
0.1206,0.1206,0.1204,0.1204,1527261120
0.1207,0.1207,0.1206,0.1206,1527261180
0.1207,0.1207,0.1207,0.1207,1527261240
0.1208,0.1208,0.1206,0.1206,1527261300
0.1203,0.1207,0.1203,0.1205,1527261360
0.1206,0.1206,0.1203,0.1203,1527261420
0.1206,0.1206,0.1205,0.1206,1527261480
0.1207,0.1207,0.1207,0.1207,1527261540
0.1205,0.1206,0.1205,0.1206,1527261600
0.1206,0.1206,0.1205,0.1205,1527261660
0.1206,0.1206,0.1205,0.1206,1527261720
0.1206,0.1208,0.1206,0.1206,1527261780
0.1207,0.1208,0.1207,0.1207,1527261840
0.1207,0.1207,0.1207,0.1207,1527261900
0.1208,0.1208,0.1208,0.1208,1527261960
0.1209,0.1209,0.1208,0.1209,1527262020
0.121,0.121,0.1209,0.1209,1527262080
0.121,0.121,0.121,0.121,1527262140
0.1211,0.1211,0.1209,0.1209,1527262200
0.1208,0.1211,0.1208,0.1211,1527262260
0.1209,0.121,0.1209,0.1209,1527262320
0.1209,0.121,0.1209,0.1209,1527262380
0.121,0.121,0.121,0.121,1527262440
0.1209,0.121,0.1209,0.1209,1527262500
0.1208,0.1209,0.1208,0.1209,1527262560
0.1208,0.1209,0.1208,0.1208,1527262620
0.121,0.121,0.121,0.121,1527262680
0.1216,0.1216,0.1213,0.1213,1527262740
0.1213,0.1215,0.1213,0.1215,1527262800
0.1214,0.1217,0.1214,0.1214,1527262860
0.1214,0.1217,0.1214,0.1217,1527262920
0.1216,0.1216,0.1214,0.1214,1527262980
0.1215,0.1217,0.1215,0.1216,1527263040
0.1214,0.1215,0.1214,0.1215,1527263100
0.1217,0.1217,0.1215,0.1215,1527263160
0.1219,0.1219,0.1216,0.1216,1527263220
0.1217,0.1219,0.1217,0.1219,1527263280
0.1218,0.1218,0.1217,0.1217,1527263340
0.1218,0.1219,0.1217,0.1218,1527263400
0.1219,0.1219,0.1218,0.1219,1527263460
0.1219,0.1219,0.1218,0.1219,1527263520
0.122,0.122,0.1219,0.1219,1527263580
0.1218,0.1218,0.1218,0.1218,1527263640
0.1218,0.1219,0.1218,0.1218,1527263700
0.1221,0.1221,0.1221,0.1221,1527263760
0.122,0.1221,0.122,0.122,1527263820
0.1218,0.1219,0.1218,0.1218,1527263880
0.1218,0.1219,0.1218,0.1218,1527263940
0.1217,0.1217,0.1216,0.1216,1527264000
0.1216,0.1216,0.1215,0.1215,1527264060
0.1215,0.1216,0.1215,0.1216,1527264120
0.1217,0.1217,0.1216,0.1216,1527264180
0.1218,0.1218,0.1217,0.1217,1527264240
0.1218,0.122,0.1218,0.122,1527264300
0.1219,0.1219,0.1219,0.1219,1527264360
0.1217,0.1218,0.1217,0.1218,1527264420
0.1218,0.1218,0.1215,0.1217,1527264480
0.1213,0.1216,0.1213,0.1216,1527264540
0.1212,0.1215,0.1212,0.1212,1527264600
0.1214,0.1216,0.121,0.1212,1527264660
0.1209,0.1213,0.1209,0.1213,1527264720
0.1212,0.1212,0.1212,0.1212,1527264780
0.1211,0.1211,0.1209,0.1211,1527264840
0.121,0.121,0.121,0.121,1527264900
0.1209,0.1211,0.1209,0.1211,1527264960
0.1212,0.1212,0.1209,0.1209,1527265020
0.121,0.1212,0.121,0.1212,1527265080
0.121,0.121,0.1209,0.1209,1527265140
0.1213,0.1213,0.121,0.121,1527265200
0.121,0.1213,0.121,0.1213,1527265260
0.1211,0.1211,0.1208,0.121,1527265320
0.121,0.1212,0.121,0.1212,1527265380
0.1212,0.1212,0.1211,0.1211,1527265440
0.1214,0.1214,0.1212,0.1212,1527265500
0.1213,0.1214,0.1211,0.1213,1527265560
0.1215,0.1217,0.1214,0.1214,1527265620
0.1215,0.1215,0.1215,0.1215,1527265680
0.1215,0.1215,0.1215,0.1215,1527265740
0.1214,0.1215,0.1214,0.1214,1527265800
0.1216,0.1216,0.1213,0.1214,1527265860
0.1214,0.1216,0.1214,0.1216,1527265920
0.1215,0.1215,0.1213,0.1213,1527265980
0.1212,0.1214,0.1212,0.1214,1527266040
0.1211,0.1211,0.1211,0.1211,1527266100
0.1212,0.1212,0.1212,0.1212,1527266160
0.1214,0.1214,0.1213,0.1213,1527266220
0.1217,0.1217,0.1214,0.1214,1527266280
0.1214,0.1217,0.1214,0.1217,1527266340
0.1214,0.1215,0.1214,0.1214,1527266400
0.1214,0.1214,0.1214,0.1214,1527266460
0.1214,0.1214,0.1214,0.1214,1527266520
0.1214,0.1214,0.1214,0.1214,1527266580
0.1214,0.1214,0.1214,0.1214,1527266640
0.1216,0.1216,0.1216,0.1216,1527266700
0.1214,0.1215,0.1214,0.1215,1527266760
0.1215,0.1215,0.1213,0.1213,1527266820
0.1213,0.1214,0.1213,0.1214,1527266880
0.1214,0.1214,0.1213,0.1213,1527266940
0.1214,0.1214,0.1214,0.1214,1527267000
0.1213,0.1214,0.1213,0.1214,1527267060
0.1214,0.1214,0.1213,0.1213,1527267120
0.1214,0.1214,0.1214,0.1214,1527267180
0.1214,0.1215,0.1214,0.1215,1527267240
0.1214,0.1215,0.1214,0.1214,1527267300
0.1214,0.1214,0.1214,0.1214,1527267360
0.1214,0.1215,0.1214,0.1214,1527267420
0.1209,0.121,0.1209,0.121,1527267480
0.1209,0.121,0.1209,0.1209,1527267540
0.1205,0.1206,0.1205,0.1206,1527267600
0.1209,0.1209,0.1208,0.1208,1527267660
0.1208,0.1209,0.1208,0.1209,1527267720
0.1208,0.1208,0.1206,0.1207,1527267780
0.1207,0.1207,0.1206,0.1206,1527267840
0.1202,0.1203,0.1202,0.1202,1527267900
0.1201,0.1203,0.1201,0.1202,1527267960
0.1203,0.1205,0.1202,0.1205,1527268020
0.1201,0.1201,0.1201,0.1201,1527268080
0.12,0.1202,0.1199,0.1199,1527268140
0.1203,0.1203,0.12,0.1202,1527268200
0.1203,0.1203,0.1201,0.1201,1527268260
0.1203,0.1205,0.1203,0.1205,1527268320
0.1204,0.1204,0.1203,0.1203,1527268380
0.1202,0.1204,0.1202,0.1203,1527268440
0.1202,0.1202,0.12,0.1201,1527268500
0.1201,0.1202,0.1201,0.1202,1527268560
0.1199,0.12,0.1199,0.1199,1527268620
0.12,0.1201,0.12,0.1201,1527268680
0.12,0.1201,0.12,0.1201,1527268740
0.1202,0.1202,0.1199,0.1199,1527268800
0.1203,0.1204,0.1203,0.1204,1527268860
0.1201,0.1203,0.12,0.1203,1527268920
0.1199,0.1202,0.1199,0.1202,1527268980
0.12,0.12,0.12,0.12,1527269040
0.1201,0.1201,0.1201,0.1201,1527269100
0.1203,0.1203,0.1203,0.1203,1527269160
0.1202,0.1202,0.12,0.1202,1527269220
0.1201,0.1201,0.1201,0.1201,1527269280
0.1201,0.1203,0.12,0.1203,1527269340
