ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt,compound,score
999224317618438146,[ANN] LinkerCoin Cross-Airdrop with HOQU(HQX) — Snapshot and Distribution date!/zh52svFcX7… /7CVZKWi0lx,LinkerCoin,767,2,6,Wed May 23 09:43:36 +0000 2018,0.0,0.0
999224352074883072,"RT : Optitoken will use an unspendable address to transparently destroy all $OPTI bought with profits of trading. Fair, provable…",Лена,10238,182,0,Wed May 23 09:43:44 +0000 2018,0.1779,1821.5181
999224352540258305,"RT : SYNIX token is back for good!!!Free Airdrops continues when followers = 7,000FollowLikeRetweetComment your ETH addr…",Hasnyan #XRT,358,591,0,Wed May 23 09:43:44 +0000 2018,0.0,0.0
999224356071817216,Have you heard⁉️🤓Switzerland occupies the topmost position among the top ten nations in Europe to support… /iIlBchUTEg,Angel Shornali,688,0,0,Wed May 23 09:43:45 +0000 2018,0.2023,139.3847
999224358454181889,RT : Craig Wright - Bcash vs Jack Liao - Bitcoin Gold in Taiwan. fakesatoshi bitcoin…,fisherman,294,652,0,Wed May 23 09:43:46 +0000 2018,0.0,0.0
999224364158595072,RT : bitcoin isn't even up 1% in the last 6 months.,Paulo Santoshi,347,5,0,Wed May 23 09:43:47 +0000 2018,0.0,0.0
999224364833824768,"RT : Wish us luck today at D10E Malta conference, where we are competing for $100,000 INVESTMENT PRIZE! 🤞d10e malta block…",CryptoRage,70,891,0,Wed May 23 09:43:47 +0000 2018,0.8757,62.1747
999224373927202817,"RT : Cryptocurrency is easier than you thinkThe main idea of blockchain is data safety and opennessUsing TransCrypt wallet,user…",juice_major,7828,62,0,Wed May 23 09:43:50 +0000 2018,0.6808,5329.9832
999224376573620224,RT : KuCoin is launching a new promotion. We are offering 30 ETH giveaway. All you need to do is:1. Follow . Retweet…,Hide,784,12420,0,Wed May 23 09:43:50 +0000 2018,0.0,0.0
999224377139806208,ICO public sale has started! Join us at /ehcm2SHhgz/mvkknTkaNj/X7ccefIWjC… /RBwLic45gI,tio cecak #savedroidICO,2574,0,0,Wed May 23 09:43:50 +0000 2018,0.3595,925.7125
999224410929287168,RT : Moon Missions and Custom Wallets: Bitcoin Community Celebrates Pizza Day /hvIbebWgua Bitcoin /MymhPIbZsU,Khawaja Khurram,203,36,0,Wed May 23 09:43:58 +0000 2018,0.5719,116.6676
999224412175028224,RT : Thanks for the S/O ! 🏦💲💰📈📊 HUOBICryptoNews CryptoTrends CryptoCurrency BITCOIN BTC Ethere…,Yamatho Supply LLC,1276,6,0,Wed May 23 09:43:59 +0000 2018,0.4926,629.0502
999224412472782849,"RT : LightningNetwork: 27 reasons it won’t work. This is why BitcoinCash BCH, never Bitcoin BTC.  /T3lxA3ahA3",BCH saves the day again,183,13,0,Wed May 23 09:43:59 +0000 2018,0.0,0.0
999224412619640832,GRAPHICALCOIN (200 GC) AIRDROP Token (100 GC TOKENS PER REFERRAL) ROUND 2 airdrop bounty BTC xrp freetoken… /RhQcjrDFZR,Kikibabs,283,0,1,Wed May 23 09:43:59 +0000 2018,0.0,0.0
999224419875602434,"RT : So DigiByte, in case you haven't noticed, is creeping up the list on and sitting pretty at 47!Not long ago…",Blockchain Brad [VTC] [DGB],206,42,0,Wed May 23 09:44:01 +0000 2018,0.5411,112.0077
999224419997253633,"RT : $20K: Everyone is ""in for the tech"".$13K: Everyone is panicking.$8K: Everyone is out. ...$50K: Everyone is ""in for…",CK,5437,395,0,Wed May 23 09:44:01 +0000 2018,0.0,0.0
999224421486231553,"$BTC USD, for the short term, btc needs to whack thru the two resistance levels that are marked. with both vol and… /Cnk3L0Yy57",mitta Ƀ,7510,1,11,Wed May 23 09:44:01 +0000 2018,0.0,0.0
999224422266490881,"We all want to make a lot of money quickly, the best way now is investing in ICO, invest only in promising projects… /OAvuc2KhmU",Самсонова Нинель,12094,0,0,Wed May 23 09:44:01 +0000 2018,0.802,9700.19
999224423793111040,RT : LIVE AMA of EtherInc (eInc) CEO with Crypto AustraliaBitcoinPizzaDay btc eth etherinc DAO /n1em6swyRV,,4437,522,0,Wed May 23 09:44:01 +0000 2018,0.0,0.0
999224427479949313,RT : It's official! We accept Litecoin BitcoinCash and Dash and of course continue to take Bitcoin! Help us spread the word c…,Swapnil,219,756,0,Wed May 23 09:44:02 +0000 2018,0.7081,155.78199999999998
999224428151132160,RT : Craig Wright - Bcash vs Jack Liao - Bitcoin Gold in Taiwan. fakesatoshi bitcoin…,Digix Report,1541,652,0,Wed May 23 09:44:03 +0000 2018,0.0,0.0
999224430562721792,💰 Neochain FREE TOKENS 💰🍀Get free 500 Neochain tokens on the following airdrop: /kS1JvGOvrf ℹ️ Jo… /Bdj908QrtH,Chiemi Tina,123,0,0,Wed May 23 09:44:03 +0000 2018,0.8091,100.3284
999224437382631424,Great people from tech industries are joining this project. Congrats!  GUARIUM. For a brighter fut… /vLR344Fe4f,toni OLXAcoin.com,2060,0,0,Wed May 23 09:44:05 +0000 2018,0.8858,1825.6338
999224443498061830,RT : Signup Airdrop of GameMarket ICO Tokensale &amp; get instant 1500 Tokens Freecoin /QZAVOM9Zi9Crypto Ga…,soha salah,3,4530,0,Wed May 23 09:44:06 +0000 2018,0.0,0.0
999224452415217664,"RT : SYNIX token is back for good!!!  Free Airdrops continues when followers = 7,000FollowLikeRetweetComment your ETH ad…",EvilPanda,41,408,0,Wed May 23 09:44:08 +0000 2018,0.795,33.39
999224452662603776,Bitcoin - DailyIt has broken the ichi cloud STRONGLYSo I think it can go down to about 7200~6700We have a stron… /6ISfujHg0M,Shahkar - Crypto Trader,529,0,9,Wed May 23 09:44:08 +0000 2018,-0.4767,-2526.51
999224453157543936,RT : Craig Wright - Bcash vs Jack Liao - Bitcoin Gold in Taiwan. fakesatoshi bitcoin…,DiegoRod ⚡️,551,652,0,Wed May 23 09:44:08 +0000 2018,0.0,0.0
999224456806588417,RT : Get in on This Hot New Cryptocurrency!/rqxyu0wdkk …,渡邉弥恵,0,51,0,Wed May 23 09:44:09 +0000 2018,0.0,0.0
