ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt
1001426024406634497,RT @PilotHarbour: Nexo Maersk inbound APM Terminal Valencia port. https://t.co/RrfvfnhSkx,Heric ♥‿♥ Montalvo,434,1,0,Tue May 29 11:32:24 +0000 2018
1001425728255266816,"@CryptoCoinNewz $NEXO is a good project and a good buy at these levels, so is $BAX though I prefer $NEXO more. I ho… https://t.co/dk5BdMtV3B",Trader Afrique,229,0,2,Tue May 29 11:31:13 +0000 2018
1001425151039160320,eBay: New &amp; Sealed LEGO Nexo Knights King's Royal Guard Mini figure 5004390 https://t.co/mgQ5NLIM3Q https://t.co/0VqJaHfJ4o,US LEGO Set Sales,150,0,0,Tue May 29 11:28:56 +0000 2018
1001424956675129349,RT @NexoFinance: Nexo Community is now the largest crypto group on Telegram with 64k+ supporters and growing! We would like to thank you al…,Nanda Dwi Harto,3,571,0,Tue May 29 11:28:09 +0000 2018
1001424234139222016,RT @cryptunez: Cryptune retirement bags 🎲💜💎🌊🎲$DBIX - Palmex Exchange (Coinbase of Dubai) $DERO - Private Smart Contracts $HKN -  Securi…,Crypto_Huey,84,124,0,Tue May 29 11:25:17 +0000 2018
1001424071056412673,Socialism https://t.co/gjTxdQCHgo,IGK,151,0,0,Tue May 29 11:24:38 +0000 2018
1001423657078423552,RT @PilotHarbour: Pilot boarding Nexo Maersk inbound Valencia port. https://t.co/U4Jtwuu6Bs,Shashi Kallada,356,1,0,Tue May 29 11:23:00 +0000 2018
1001422511211413505,"RT @tehMoonwalker: @cryptoMadiba $lend = lend ur tokens and get interest , decentral,  p2p loan marketplace $nexo = burrow tokens without…",Cris,35,1,0,Tue May 29 11:18:26 +0000 2018
1001422060713787393,@_Crypto_papa $NEXO 💪💪 on sale at the moment. Be quick while stocks last 🚀,Dazzz,6,0,1,Tue May 29 11:16:39 +0000 2018
1001421782526685185,"RT @crypto_sally_: Next 6 mo.- Most bullish on exchange coins ( $BNB $KCS $QASH $BCO ), security/security-related tokens ( $POLY $NEXO ) pl…",Mobian King,7,13,0,Tue May 29 11:15:33 +0000 2018
1001421662850568192,Some things I bought on this dip$theta $jnt $iotxand some$xrn $loki $derothinking of increasing positions i… https://t.co/m8Bp8wM4Ll,Robbie,83,0,1,Tue May 29 11:15:04 +0000 2018
1001420256634654720,"@cryptoMadiba $lend = lend ur tokens and get interest , decentral,  p2p loan marketplace $nexo = burrow tokens wit… https://t.co/NENW3C3842",tehMoonwalkeR,38433,1,1,Tue May 29 11:09:29 +0000 2018
1001419886256623617,RT @RandolphMlny: #Bitcoin #cryptocurrency #blockchainNexo Starts ‘Best Job in Crypto’ CampaignBecome a Top Blockchain Leader : https:/…,Earn Money Online Opportunity,572,2,0,Tue May 29 11:08:01 +0000 2018
1001419672837738496,@Protoductio @Nexo_os Literally 1 module and 1 local script. Basically when a player joins/respawns it connects to… https://t.co/rPZoyUn08D,ScriptingIntoTerror,309,0,0,Tue May 29 11:07:10 +0000 2018
1001419284957057024,Curious for a response on $lend vs $nexo (other lending platforms).@tehMoonwalker. Great telegram group thanks.,Politikz,132,0,1,Tue May 29 11:05:37 +0000 2018
1001419131659354112,@Terror_Scripter @Nexo_os How are you doing replication?,Protoduction,195,0,1,Tue May 29 11:05:01 +0000 2018
1001418650253975553,Nexo Maersk inbound APM Terminal Valencia port. https://t.co/RrfvfnhSkx,Harbour Pilot,498,1,6,Tue May 29 11:03:06 +0000 2018
1001416699382517760,Pilot boarding Nexo Maersk inbound Valencia port. https://t.co/U4Jtwuu6Bs,Harbour Pilot,498,1,6,Tue May 29 10:55:21 +0000 2018
1001416525180538880,RT @Terror_Scripter: No one can jump like @Nexo_os #RobloxDev #Roblox https://t.co/4EUA4SC4dC,Nexo_os,309,8,0,Tue May 29 10:54:39 +0000 2018
1001416081360044035,RT @NexoFinance: Nexo Community is now the largest crypto group on Telegram with 64k+ supporters and growing! We would like to thank you al…,Stephen Carl Nuñez,22,571,0,Tue May 29 10:52:53 +0000 2018
1001411641211281408,RT @jaecuIt: everyone please rise for nexo culture technology https://t.co/0UHkwmFWKv,J,23509,4,0,Tue May 29 10:35:15 +0000 2018
1001408846911426561,RT @MiddleChildPabk: Projects I'm most excited about. The next few years.. we will look back and realize how lucky we were to be in this ea…,NewCryptoCoin,521,2,0,Tue May 29 10:24:09 +0000 2018
1001406697905127424,RT @NexoFinance: Nexo Community is now the largest crypto group on Telegram with 64k+ supporters and growing! We would like to thank you al…,MbclJaGuaR,21,571,0,Tue May 29 10:15:36 +0000 2018
1001405322689380352,Flight case for 2x Nexo PS8 #speakers. Each speaker is contained in its own compartment for added protection when c… https://t.co/yLYWdDdsB0,BestFlightCases,1129,0,0,Tue May 29 10:10:08 +0000 2018
1001404506586931200,“An Outlook on Nexo Dividends and Beyond” by Nexo https://t.co/zzQPW23Fid $NEXO #finance #financing #loan #loans #funding #funds #money,Mihail Tanev,63354,0,1,Tue May 29 10:06:54 +0000 2018
1001403733035667456,"Weiner Nexo Lee Sin Montage ""Incredible Lee Sin Mechanics"" | League of Legends: https://t.co/eb2suvSFbc qua @YouTube",Champion Montage,12,0,0,Tue May 29 10:03:49 +0000 2018
1001400355324878848,Free chrome extension to hide tweets that over-shill crypto cash tags &amp; promote groups https://t.co/D6aOXBWQQjNo… https://t.co/bh7Urfl9KO,ShillKill Fan,72,0,0,Tue May 29 09:50:24 +0000 2018
1001399198724440064,Just bought some more $bax and $nexo  - To the 🌓 in the weeks to@l come once this bloodbath is over.,Jeremy Cannon,38,0,1,Tue May 29 09:45:48 +0000 2018
1001398996005339136,“We firmly believe that businesses will benefit from the #interoperability and clarity that nexo is bringing to the… https://t.co/l7PfDMp7lO,nexo standards,30,0,1,Tue May 29 09:45:00 +0000 2018
1001398226556145664,RT @bitox_exchange: NEXO $NEXO by @NexoFinance is now available on @bitox_exchange : https://t.co/IrwgQNfQCdNexo - The World’s First Insta…,abc_edit,100,53,0,Tue May 29 09:41:56 +0000 2018
1001395814927945728,RT @stevennerayoff: One of the best blockchain projects I’ve seen and an amazingly talented and experienced team.  Nexo is poised for explo…,Dan González,3,15,0,Tue May 29 09:32:21 +0000 2018
1001394862502174726,@binance im waiting for ETN / DRGN and NEXO i dont understand why this coin are not in @binance,Jorge,11,0,0,Tue May 29 09:28:34 +0000 2018
